filename,actual_label,vreg,template1_pred,template2_pred,template1_correct,template2_correct
biz01.fake.txt,fake,0.548,fake,fake,True,True
biz02.fake.txt,fake,0.467,real,fake,False,True
biz03.fake.txt,fake,0.5,real,fake,False,True
biz04.fake.txt,fake,0.483,fake,fake,True,True
biz05.fake.txt,fake,0.56,fake,fake,True,True
biz06.fake.txt,fake,0.65,fake,real,True,False
biz07.fake.txt,fake,0.521,fake,fake,True,True
biz08.fake.txt,fake,0.483,fake,fake,True,True
biz09.fake.txt,fake,0.45,real,fake,False,True
biz10.fake.txt,fake,0.438,fake,fake,True,True
biz11.fake.txt,fake,0.567,real,fake,False,True
biz12.fake.txt,fake,0.621,fake,fake,True,True
biz13.fake.txt,fake,0.516,fake,fake,True,True
biz14.fake.txt,fake,0.621,real,fake,False,True
biz15.fake.txt,fake,,ERROR,ERROR,,
biz16.fake.txt,fake,0.396,real,fake,False,True
biz17.fake.txt,fake,0.383,real,fake,False,True
biz18.fake.txt,fake,0.667,real,fake,False,True
biz19.fake.txt,fake,0.222,fake,fake,True,True
biz20.fake.txt,fake,,ERROR,ERROR,,
biz21.fake.txt,fake,0.5,fake,fake,True,True
biz22.fake.txt,fake,0.434,real,fake,False,True
biz23.fake.txt,fake,,ERROR,ERROR,,
biz24.fake.txt,fake,0.438,real,real,False,False
biz25.fake.txt,fake,0.569,real,fake,False,True
biz26.fake.txt,fake,,ERROR,ERROR,,
biz27.fake.txt,fake,0.302,fake,fake,True,True
biz28.fake.txt,fake,0.483,real,fake,False,True
biz29.fake.txt,fake,0.433,real,real,False,False
biz30.fake.txt,fake,0.45,fake,real,True,False
